pool-1-thread-1, REMOVE, 11687891106766, LIN_REM, 11687891115063, RET, true, 11687891118610
pool-1-thread-1, CONTAINS, 11687891123587, LIN_CON, 11687891130509, RET, false, 11687891132449
pool-1-thread-1, CONTAINS, 11687891137064, LIN_CON, 11687891141592, RET, false, 11687891143262
pool-1-thread-1, CONTAINS, 11687891147564, LIN_CON, 11687891152038, RET, false, 11687891153725
pool-1-thread-1, REMOVE, 11687891158117, LIN_REM, 11687891165121, RET, false, 11687891168280
pool-1-thread-1, ADD, 11687891173070, LIN_ADD, 11687891177750, RET, true, 11687891180047
pool-1-thread-2, ADD, 11687891209247, LIN_ADD, 11687891223934, RET, false, 11687891228558
pool-1-thread-2, ADD, 11687891259888, LIN_ADD, 11687891269823, RET, false, 11687891274094
pool-1-thread-2, REMOVE, 11687891285974, LIN_REM, 11687891312626, RET, true, 11687891321288
pool-1-thread-1, ADD, 11687891296531, LIN_ADD, 11687891306249, RET, false, 11687891308556
pool-1-thread-1, CONTAINS, 11687891314049, LIN_CON, 11687891418131, RET, false, 11687891427016
pool-1-thread-2, REMOVE, 11687891334713, LIN_REM, 11687891344503, RET, false, 11687891348900
pool-1-thread-2, REMOVE, 11687891359660, LIN_REM, 11687891369057, RET, false, 11687891373128
pool-1-thread-2, REMOVE, 11687891383602, LIN_REM, 11687891392322, RET, false, 11687891396420
pool-1-thread-2, REMOVE, 11687891406599, LIN_REM, 11687891415777, RET, false, 11687891419950
pool-1-thread-2, ADD, 11687891430479, LIN_ADD, 11687891447454, RET, true, 11687891453334
pool-1-thread-1, ADD, 11687891441411, LIN_ADD, 11687891449730, RET, false, 11687891453816
pool-1-thread-1, REMOVE, 11687891461390, LIN_REM, 11687891470237, RET, true, 11687891478291
pool-1-thread-2, ADD, 11687891467051, LIN_ADD, 11687891483224, RET, true, 11687891493116
pool-1-thread-1, ADD, 11687891487487, LIN_ADD, 11687891495262, RET, false, 11687891497618
pool-1-thread-1, ADD, 11687891502289, LIN_ADD, 11687891505775, RET, false, 11687891507450
pool-1-thread-1, ADD, 11687891524742, LIN_ADD, 11687891532293, RET, false, 11687891534372
pool-1-thread-1, CONTAINS, 11687891539334, LIN_CON, 11687891544901, RET, true, 11687891550917
pool-1-thread-1, REMOVE, 11687891555759, LIN_REM, 11687891707881, RET, false, 11687891735329
pool-1-thread-2, ADD, 11687891635390, LIN_ADD, 11687891650005, RET, false, 11687891655282
pool-1-thread-2, REMOVE, 11687891666938, LIN_REM, 11687891687476, RET, true, 11687891695892
pool-1-thread-2, ADD, 11687891706784, LIN_ADD, 11687891723193, RET, true, 11687891750362
pool-1-thread-2, CONTAINS, 11687891764541, LIN_CON, 11687891778248, RET, true, 11687891782445
pool-1-thread-2, ADD, 11687891792855, LIN_ADD, 11687891801452, RET, false, 11687891805205
pool-1-thread-2, ADD, 11687891814932, LIN_ADD, 11687891822735, RET, false, 11687891826199
pool-1-thread-2, REMOVE, 11687891836384, LIN_REM, 11687891851458, RET, true, 11687891867104
