577735394207417, pool-1-thread-2, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735394223125, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735394237709, pool-1-thread-2, [ADD] SUCCEEDED, 8 added to the list.
577735394252375, pool-1-thread-2, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735394266125, pool-1-thread-2, [ADD] FAILED, 8 exists in the list.
577735394263250, pool-1-thread-7, [ADD] SUCCEEDED, 8 added to the list.
577735394298292, pool-1-thread-4, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735394305209, pool-1-thread-7, [ADD] SUCCEEDED, 8 added to the list.
577735394282084, pool-1-thread-2, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735394337209, pool-1-thread-7, [ADD] SUCCEEDED, 8 added to the list.
577735394382959, pool-1-thread-1, [ADD] SUCCEEDED, 8 added to the list.
577735394323667, pool-1-thread-4, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735394407459, pool-1-thread-1, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735394394250, pool-1-thread-7, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735394364000, pool-1-thread-2, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735394353459, pool-1-thread-8, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735394491667, pool-1-thread-2, [REMOVE] FAILED, 8 does not exist in the list.
577735394473125, pool-1-thread-7, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735394450000, pool-1-thread-1, [ADD] SUCCEEDED, 8 added to the list.
577735394429000, pool-1-thread-4, [REMOVE] FAILED, 8 does not exist in the list.
577735394573709, pool-1-thread-1, [ADD] FAILED, 8 exists in the list.
577735394559792, pool-1-thread-7, [ADD] SUCCEEDED, 8 added to the list.
577735394531709, pool-1-thread-2, [REMOVE] FAILED, 8 does not exist in the list.
577735394513375, pool-1-thread-6, [REMOVE] FAILED, 8 does not exist in the list.
577735394511125, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735394661542, pool-1-thread-3, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735394588167, pool-1-thread-4, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735394815084, pool-1-thread-4, [ADD] FAILED, 8 exists in the list.
577735394826792, pool-1-thread-5, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735394605917, pool-1-thread-1, [ADD] FAILED, 8 exists in the list.
577735394849167, pool-1-thread-4, [CONTAINS] FAILED, 8 does not exist in the list.
577735394798167, pool-1-thread-3, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735394865417, pool-1-thread-4, [REMOVE] FAILED, 8 does not exist in the list.
577735394860750, pool-1-thread-1, [REMOVE] FAILED, 8 does not exist in the list.
577735394852625, pool-1-thread-5, [REMOVE] FAILED, 8 does not exist in the list.
577735394668042, pool-1-thread-6, [REMOVE] FAILED, 8 does not exist in the list.
577735394625834, pool-1-thread-7, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735395010709, pool-1-thread-6, [CONTAINS] FAILED, 8 does not exist in the list.
577735395016000, pool-1-thread-7, [CONTAINS] FAILED, 8 does not exist in the list.
577735395026709, pool-1-thread-6, [REMOVE] FAILED, 8 does not exist in the list.
577735395033667, pool-1-thread-7, [REMOVE] FAILED, 8 does not exist in the list.
577735394928459, pool-1-thread-1, [ADD] FAILED, 8 exists in the list.
577735394642750, pool-1-thread-2, [ADD] SUCCEEDED, 8 added to the list.
577735395063625, pool-1-thread-1, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735395078292, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735394909167, pool-1-thread-4, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735395108375, pool-1-thread-4, [ADD] FAILED, 8 exists in the list.
577735395123167, pool-1-thread-4, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735394697750, pool-1-thread-8, [ADD] SUCCEEDED, 8 added to the list.
577735394886542, pool-1-thread-3, [ADD] SUCCEEDED, 8 added to the list.
577735395096959, pool-1-thread-2, [ADD] SUCCEEDED, 8 added to the list.
577735395080792, pool-1-thread-1, [REMOVE] FAILED, 8 does not exist in the list.
577735395050667, pool-1-thread-7, [ADD] SUCCEEDED, 8 added to the list.
577735395040750, pool-1-thread-6, [REMOVE] FAILED, 8 does not exist in the list.
577735394990125, pool-1-thread-5, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735395171459, pool-1-thread-3, [ADD] SUCCEEDED, 8 added to the list.
577735395322709, pool-1-thread-3, [ADD] FAILED, 8 exists in the list.
577735395338209, pool-1-thread-3, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735395352750, pool-1-thread-3, [CONTAINS] FAILED, 8 does not exist in the list.
577735395155375, pool-1-thread-8, [REMOVE] FAILED, 8 does not exist in the list.
577735395366084, pool-1-thread-3, [CONTAINS] FAILED, 8 does not exist in the list.
577735395257500, pool-1-thread-5, [ADD] FAILED, 8 exists in the list.
